pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_February_26_1922,SB_News_Times_February_26_1922.jpg,South Bend News Times,"South Bend, Indiana, US",26/02/1922,February,1922,JPG,,,,,n
SB_News_Times_January_03_1914,SB_News_Times_January_03_1914.jpg,South Bend News Times,"South Bend, Indiana, US",3/1/1914,January,1914,JPG,,,,,n
SB_News_Times_January_25_1922,SB_News_Times_January_25_1922.jpg,South Bend News Times,"South Bend, Indiana, US",25/01/1922,January,1922,JPG,,,,,n
SB_News_Times_January_29_1922,SB_News_Times_January_29_1922.jpg,South Bend News Times,"South Bend, Indiana, US",29/01/1922,January,1922,JPG,,,,,n
SB_News_Times_July_04_1913,SB_News_Times_July_04_1913.jpg,South Bend News Times,"South Bend, Indiana, US",4/7/1913,July,1913,JPG,"Springbrook Park, Singer Park, Mishawaka Park","Studebakers, Dodge Indestructos, Singers, South Bend Watch Company, Mish. Woolen Co., South Bend Plow Co.",n,n,y
SB_News_Times_July_05_1913,SB_News_Times_July_05_1913.jpg,South Bend News Times,"South Bend, Indiana, US",5/7/1913,July,1913,JPG,Includes league standings and upcoming games in the Manufacturer's League,"Singers, Studebakers, Ball Bands, Dodges, Watch Co., Plow Co.",n,n,y
SB_News_Times_July_08_1914,SB_News_Times_July_08_1914.jpg,South Bend News Times,"South Bend, Indiana, US",8/7/1914,July,1914,JPG,,,,,n
SB_News_Times_July_09_1914,SB_News_Times_July_09_1914.jpg,South Bend News Times,"South Bend, Indiana, US",9/7/1914,July,1914,JPG,"""President Dailey of the Factory League""",Mishawaka Ball Bands and South Bend,n,n,y
SB_News_Times_July_10_1913,SB_News_Times_July_10_1913.jpg,South Bend News Times,"South Bend, Indiana, US",10/7/1913,July,1913,JPG,Standings of the Manufacturers' League,"Singers, Studebakers, Dodge, Ball Bands, Watch Co., Plow Co.",y,n,y
SB_News_Times_July_10_1914,SB_News_Times_July_10_1914.jpg,South Bend News Times,"South Bend, Indiana, US",10/7/1914,July,1914,JPG,,,,,n
SB_News_Times_July_11_1913,SB_News_Times_July_11_1913.jpg,South Bend News Times,"South Bend, Indiana, US",11/7/1913,July,1913,JPG,"Includes standings of league, other scheduled games. Also mentions games played at Singer Park, Springbrook Park and Mishawaka Park. An ad for these games calls it the ""Manufacturers' League"". Article also mentions some rules put in place where players must be employed at least 30 days at their factory before being eligible to play. Maybe a rule put in place to prevent excessive movement of players? It also mentions a ""president of the league.""","Singers, Studebakers, Ball Bands, Dodges, Watch Co., Plow Co.",n,n,y
SB_News_Times_July_14_1914,SB_News_Times_July_14_1914.jpg,South Bend News Times,"South Bend, Indiana, US",14/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_17_1914,SB_News_Times_July_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_18_1920,SB_News_Times_July_18_1920.jpg,South Bend News Times,"South Bend, Indiana, US",18/07/1920,July,1920,JPG,,,,,n
SB_News_Times_July_25_1920,SB_News_Times_July_25_1920.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1920,July,1920,JPG,,"Studebaker, Dodge, Hoosier Creams ",y,y,y
SB_News_Times_July_27_1921,SB_News_Times_July_27_1921.jpg,South Bend News Times,"South Bend, Indiana, US",27/07/1921,July,1921,JPG,,,,,n
SB_News_Times_July_9_1914,SB_News_Times_July_9_1914.jpg,South Bend News Times,"South Bend, Indiana, US",9/7/1914,July,1914,JPG,"""President Dailey of the Factory League""",Mishawaka Ball Bands and South Bend,n,n,y
SB_News_Times_July_y_25_1913_pg10,SB_News_Times_July_y_25_1913_pg10.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 10,,,,n
SB_News_Times_July_y_25_1913_pg6,SB_News_Times_July_y_25_1913_pg6.jpg,South Bend News Times,"South Bend, Indiana, US",25/07/1913,July,1913,JPG,Pg. 6,,,,n
